english;francais
sun;soleil;lune;étoile;ciel
moon;lune;soleil;étoile;planète
school;école;bureau;classe;université
apple;pomme;poire;pêche;banane
water;eau;vin;lait;jus
bread;pain;croissant;gâteau;biscuit
chair;chaise;table;canapé;fauteuil
window;fenêtre;porte;mur;toit
car;voiture;bus;train;vélo
book;livre;magazine;journal;roman
table;table;chaise;bureau;étagère
house;maison;appartement;immeuble;chalet
dog;chien;chat;cheval;lapin
bird;oiseau;papillon;poisson;insecte
rain;pluie;neige;vent;orage
flower;fleur;arbre;herbe;feuille
music;musique;chanson;instrument;danse
light;lumière;obscurité;lampe;éclat
friend;ami;ennemi;collègue;voisin
love;amour;haine;joie;tristesse

